StudID,Year,Class,Session,Credit Hour,Course Code,Total Marks,Grade Pointer Average,Grade,Group
S47,2016,DDT1A,JUNE,2,ICS,88,3.3,B+,DISTINCTION
S48,2016,DDT1A,DEC,2,ICS,98,4,A+,EXCEPTIONAL
S49,2018,DDT1D,DEC,2,ICS,62,0,F,FAIL
S50,2017,DDT1B,DEC,2,ICS,63,1,D,PASS
S51,2017,DDT1B,DEC,1,ICS,77,2.3,C+,PASS
S52,2019,DDT1D,DEC,3,CSA,41,0,F,FAIL
S53,2019,DDT1D,JUNE,3,ICS,69,1.3,D+,PASS
S54,2019,DDT1D,JUNE,1,ICS,51,0,F,FAIL
S55,2019,DDT1D,DEC,3,CSA,60,0,F,FAIL
S56,2017,DDT1B,DEC,3,ICS,85,3,B,DISTINCTION
S57,2016,DDT1A,JUNE,3,ICS,78,2.3,C+,PASS
S58,2018,DDT1D,DEC,2,CSA,49,0,F,FAIL
S59,2019,DDT1D,JUNE,1,ICS,55,0,F,FAIL
S60,2017,DDT1B,DEC,3,CSA,81,2.7,B-,PASS
S61,2016,DDT1A,DEC,1,ICS,65,1,D,PASS
S62,2017,DDT1B,JUNE,3,ICS,82,2.7,B-,PASS
S63,2019,DDT1D,DEC,1,ICS,64,1,D,PASS
S64,2016,DDT1A,DEC,1,CSA,95,3.8,A,EXCELLENT
S65,2016,DDT1A,DEC,3,CSA,85,3,B,DISTINCTION
S66,2016,DDT1A,JUNE,2,ICS,67,1.3,D+,PASS
S67,2018,DDT1D,JUNE,1,CSA,95,3.8,A,EXCELLENT
S68,2017,DDT1B,DEC,3,ICS,80,2.7,B-,PASS
S69,2017,DDT1B,DEC,3,ICS,40,0,F,FAIL
S70,2018,DDT1D,DEC,1,CSA,85,3,B,DISTINCTION
S71,2016,DDT1A,JUNE,2,CSA,64,1,D,PASS
S72,2019,DDT1D,JUNE,1,ICS,88,3.3,B+,DISTINCTION
S73,2016,DDT1A,JUNE,2,CSA,89,3.3,B+,DISTINCTION
S74,2019,DDT1D,DEC,3,ICS,72,1.7,C-,PASS
S75,2016,DDT1A,JUNE,3,CSA,75,2,C,PASS
S76,2016,DDT1A,DEC,1,ICS,81,2.7,B-,PASS
S77,2017,DDT1B,DEC,1,CSA,62,0,F,FAIL
S78,2019,DDT1C,JUNE,1,ICS,68,1.3,D+,PASS
S79,2018,DDT1D,JUNE,3,ICS,49,0,F,FAIL
S80,2019,DDT1D,DEC,3,ICS,69,1.3,D+,PASS
S81,2019,DDT1C,JUNE,2,CSA,52,0,F,FAIL
S82,2018,DDT1D,JUNE,1,ICS,86,3,B,DISTINCTION
S83,2016,DDT1A,JUNE,3,ICS,47,0,F,FAIL
S84,2017,DDT1B,JUNE,3,ICS,54,0,F,FAIL
S85,2017,DDT1B,JUNE,1,CSA,98,4,A+,EXCEPTIONAL
S86,2018,DDT1D,DEC,3,CSA,74,2,C,PASS
S87,2017,DDT1B,JUNE,1,CSA,83,3,B,DISTINCTION
S88,2019,DDT1D,DEC,3,CSA,68,1.3,D+,PASS
S89,2017,DDT1B,JUNE,1,CSA,61,0,F,FAIL
S90,2017,DDT1B,JUNE,3,ICS,38,0,F,FAIL
S91,2016,DDT1A,DEC,3,CSA,59,0,F,FAIL
S92,2018,DDT1C,DEC,3,ICS,61,0,F,FAIL
S93,2018,DDT1C,DEC,3,ICS,68,1.3,D+,PASS
S94,2018,DDT1D,JUNE,2,CSA,96,3.8,A,EXCELLENT
S95,2019,DDT1D,DEC,3,ICS,62,0,F,FAIL
S96,2016,DDT1A,JUNE,3,CSA,61,0,F,FAIL
S97,2018,DDT1D,DEC,1,CSA,49,0,F,FAIL
S98,2019,DDT1C,DEC,3,ICS,71,1.7,C-,PASS
S99,2018,DDT1D,JUNE,,CSA,38,0,F,FAIL
S100,2017,DDT1B,DEC,3,ICS,70,1.7,C-,PASS
S101,2018,DDT1D,JUNE,2,CSA,69,1.3,D+,PASS
S102,2016,DDT1A,DEC,2,ICS,83,3,B,DISTINCTION
S103,2016,DDT1A,DEC,2,CSA,49,0,F,FAIL
S104,2019,DDT1C,DEC,3,CSA,87,3.3,B+,DISTINCTION
S105,2018,DDT1C,JUNE,1,ICS,40,0,F,FAIL
S106,2018,DDT1D,JUNE,3,CSA,95,3.8,A,EXCELLENT
S107,2017,DDT1B,JUNE,3,CSA,61,0,F,FAIL
S108,2016,DDT1A,JUNE,3,ICS,66,1,D,PASS
S109,2018,DDT1D,JUNE,1,CSA,64,1,D,PASS
S110,2016,DDT1A,JUNE,2,ICS,85,3,B,DISTINCTION
S111,2017,DDT1B,JUNE,2,ICS,65,1,D,PASS
S112,2017,DDT1B,DEC,3,CSA,43,0,F,FAIL
S113,2017,DDT1B,JUNE,3,ICS,45,0,F,FAIL
S114,2018,DDT1D,DEC,3,CSA,61,0,F,FAIL
S115,2016,DDT1A,DEC,3,CSA,97,4,A+,EXCEPTIONAL
S116,2017,DDT1B,JUNE,2,ICS,52,0,F,FAIL
S117,2017,DDT1B,JUNE,1,CSA,94,3.8,A,EXCELLENT
S118,2016,DDT1A,DEC,2,ICS,80,2.7,B-,PASS
S119,2017,DDT1B,DEC,3,CSA,69,1.3,D+,PASS
S120,2017,DDT1B,DEC,1,ICS,77,2.3,C+,PASS
S121,2018,DDT1D,JUNE,1,CSA,58,0,F,FAIL
S122,2016,DDT1A,DEC,1,ICS,55,0,F,FAIL
S123,2018,DDT1D,DEC,1,CSA,39,0,F,FAIL
S124,2017,DDT1B,DEC,1,ICS,55,0,F,FAIL
S125,2018,DDT1D,JUNE,1,CSA,80,2.7,B-,PASS
S126,2016,DDT1A,JUNE,3,ICS,62,0,F,FAIL
S127,2016,DDT1A,DEC,2,CSA,80,2.7,B-,PASS
S128,2017,DDT1B,JUNE,1,ICS,40,0,F,FAIL
S129,2019,DDT1D,JUNE,1,CSA,53,0,F,FAIL
S130,2019,DDT1D,JUNE,3,ICS,38,0,F,FAIL
S131,2019,DDT1D,JUNE,1,CSA,80,2.7,B-,PASS
S132,2019,DDT1D,DEC,2,ICS,96,3.8,A,EXCELLENT
S133,2017,DDT1B,DEC,2,ICS,87,3.3,B+,DISTINCTION
S134,2018,DDT1D,DEC,1,ICS,53,0,F,FAIL
S135,2019,DDT1D,JUNE,,CSA,58,0,F,FAIL
S136,2017,DDT1B,JUNE,3,ICS,75,2,C,PASS
S137,2016,DDT1A,DEC,2,CSA,57,0,F,FAIL
S138,2016,DDT1A,DEC,2,CSA,51,0,F,FAIL
S139,2016,DDT1A,DEC,2,CSA,72,1.7,C-,PASS
S140,2017,DDT1B,JUNE,3,CSA,39,0,F,FAIL
S141,2017,DDT1B,DEC,3,ICS,38,0,F,FAIL
S142,2018,DDT1D,JUNE,1,CSA,63,1,D,PASS
S143,2019,DDT1C,JUNE,1,CSA,64,1,D,PASS
S144,2018,DDT1D,DEC,3,CSA,48,0,F,FAIL
S145,2016,DDT1A,DEC,2,ICS,55,0,F,FAIL
S146,2019,DDT1D,DEC,2,ICS,51,0,F,FAIL
S147,2019,DDT1C,JUNE,3,ICS,74,2,C,PASS
S148,2018,DDT1D,DEC,2,ICS,93,3.8,A,EXCELLENT
S149,2016,DDT1A,JUNE,2,ICS,71,1.7,C-,PASS
S150,2018,DDT1C,JUNE,1,CSA,75,2,C,PASS
S151,2018,DDT1C,JUNE,3,ICS,44,0,F,FAIL
S152,2018,DDT1D,JUNE,1,ICS,63,1,D,PASS
S153,2017,DDT1B,JUNE,2,CSA,89,3.3,B+,DISTINCTION
S154,2018,DDT1D,JUNE,1,ICS,51,0,F,FAIL
S155,2017,DDT1B,JUNE,3,ICS,64,1,D,PASS
S156,2018,DDT1D,DEC,1,CSA,67,1.3,D+,PASS
S157,2017,DDT1B,DEC,3,CSA,76,2,C,PASS
S158,2016,DDT1A,DEC,3,ICS,47,0,F,FAIL
S159,2018,DDT1D,DEC,1,ICS,67,1.3,D+,PASS
S160,2017,DDT1B,DEC,2,CSA,72,1.7,C-,PASS
S161,2019,DDT1D,DEC,3,ICS,90,3.7,A-,DISTINCTION
S162,2016,DDT1A,JUNE,3,ICS,89,3.3,B+,DISTINCTION
S163,2019,DDT1C,JUNE,2,ICS,56,0,F,FAIL
S164,2018,DDT1D,DEC,1,ICS,40,0,F,FAIL
S165,2016,DDT1A,JUNE,1,CSA,78,2.3,C+,PASS
S166,2017,DDT1B,DEC,1,CSA,88,3.3,B+,DISTINCTION
S167,2018,DDT1D,DEC,2,ICS,86,3,B,DISTINCTION
S168,2019,DDT1C,DEC,1,CSA,93,3.8,A,EXCELLENT
S169,2018,DDT1C,DEC,1,CSA,96,3.8,A,EXCELLENT
S170,2018,DDT1D,JUNE,2,CSA,91,3.7,A-,DISTINCTION
S171,2019,DDT1D,DEC,3,CSA,72,1.7,C-,PASS
S172,2017,DDT1B,DEC,2,CSA,80,2.7,B-,PASS
S173,2019,DDT1D,DEC,1,CSA,65,1,D,PASS
S174,2017,DDT1B,DEC,3,ICS,57,0,F,FAIL
S175,2017,DDT1B,JUNE,2,CSA,56,0,F,FAIL
S176,2019,DDT1C,JUNE,2,ICS,98,4,A+,EXCEPTIONAL
S177,2018,DDT1C,DEC,1,CSA,51,0,F,FAIL
S178,2018,DDT1D,DEC,2,ICS,63,1,D,PASS
S179,2017,DDT1B,JUNE,1,ICS,64,1,D,PASS
S180,2017,DDT1B,DEC,1,ICS,81,2.7,B-,PASS
S181,2016,DDT1A,DEC,3,CSA,53,0,F,FAIL
S182,2017,DDT1B,DEC,2,ICS,89,3.3,B+,DISTINCTION
S183,2016,DDT1A,JUNE,1,ICS,62,0,F,FAIL
S184,2016,DDT1A,DEC,3,CSA,74,2,C,PASS
S185,2016,DDT1A,JUNE,3,CSA,54,0,F,FAIL
S186,2019,DDT1C,JUNE,1,CSA,53,0,F,FAIL
S187,2018,DDT1D,JUNE,2,ICS,56,0,F,FAIL
S188,2019,DDT1C,DEC,1,ICS,42,0,F,FAIL
S189,2018,DDT1D,DEC,3,ICS,78,2.3,C+,PASS
S190,2016,DDT1A,JUNE,2,ICS,92,3.7,A-,DISTINCTION
S191,2016,DDT1A,JUNE,1,CSA,80,2.7,B-,PASS
S192,2017,DDT1B,DEC,1,CSA,56,0,F,FAIL
S193,2016,DDT1A,JUNE,3,ICS,46,0,F,FAIL
S194,2017,DDT1B,JUNE,3,ICS,56,0,F,FAIL
S195,2019,DDT1D,JUNE,3,ICS,74,2,C,PASS
S196,2019,DDT1D,JUNE,2,CSA,83,3,B,DISTINCTION
S197,2017,DDT1B,JUNE,3,CSA,77,2.3,C+,PASS
S198,2016,DDT1A,JUNE,2,CSA,38,0,F,FAIL
S199,2019,DDT1D,JUNE,2,CSA,77,2.3,C+,PASS
S200,2016,DDT1A,JUNE,2,ICS,64,1,D,PASS
S201,2017,DDT1B,DEC,3,ICS,65,1,D,PASS
S202,2017,DDT1B,DEC,2,CSA,86,3,B,DISTINCTION
S203,2019,DDT1D,JUNE,2,ICS,74,2,C,PASS
S204,2019,DDT1D,DEC,2,ICS,48,0,F,FAIL
S205,2016,DDT1A,JUNE,2,CSA,58,0,F,FAIL
S206,2018,DDT1D,JUNE,2,ICS,90,3.7,A-,DISTINCTION
S207,2016,DDT1A,DEC,1,CSA,39,0,F,FAIL
S208,2017,DDT1B,JUNE,2,CSA,95,3.8,A,EXCELLENT
S209,2016,DDT1A,JUNE,1,ICS,80,2.7,B-,PASS
S210,2017,DDT1B,JUNE,2,ICS,61,0,F,FAIL
S211,2018,DDT1C,JUNE,2,CSA,68,1.3,D+,PASS
S212,2018,DDT1D,JUNE,3,ICS,95,3.8,A,EXCELLENT
S213,2017,DDT1B,DEC,1,CSA,94,3.8,A,EXCELLENT
S214,2017,DDT1B,JUNE,1,ICS,66,1,D,PASS
S215,2019,DDT1D,DEC,2,ICS,98,4,A+,EXCEPTIONAL
S216,2019,DDT1D,DEC,3,ICS,66,1,D,PASS
S217,2019,DDT1D,DEC,1,CSA,52,0,F,FAIL
S218,2017,DDT1B,DEC,2,ICS,43,0,F,FAIL
S219,2018,DDT1D,DEC,1,ICS,66,1,D,PASS
S220,2019,DDT1C,JUNE,3,CSA,92,3.7,A-,DISTINCTION
S221,2018,DDT1C,JUNE,2,CSA,70,1.7,C-,PASS
S222,2018,DDT1D,DEC,2,ICS,41,0,F,FAIL
S223,2016,DDT1A,JUNE,1,CSA,82,2.7,B-,PASS
S224,2019,DDT1D,JUNE,1,CSA,54,0,F,FAIL
S225,2016,DDT1A,JUNE,3,CSA,51,0,F,FAIL
S226,2019,DDT1D,JUNE,2,ICS,47,0,F,FAIL
S227,2019,DDT1D,JUNE,3,CSA,95,3.8,A,EXCELLENT
S228,2019,DDT1D,JUNE,2,CSA,42,0,F,FAIL
S229,2016,DDT1A,DEC,1,ICS,59,0,F,FAIL
S230,2018,DDT1D,DEC,2,ICS,60,0,F,FAIL
S231,2016,DDT1A,JUNE,3,CSA,90,3.7,A-,DISTINCTION
S232,2016,DDT1A,JUNE,3,ICS,43,0,F,FAIL
S233,2018,DDT1C,DEC,1,,60,0,F,FAIL
S234,2018,DDT1D,DEC,3,ICS,59,0,F,FAIL
S235,2019,DDT1D,DEC,3,ICS,53,0,F,FAIL
S236,2019,DDT1D,DEC,3,ICS,86,3,B,DISTINCTION
S237,2017,DDT1B,JUNE,2,ICS,98,4,A+,EXCEPTIONAL
S238,2018,DDT1C,JUNE,1,CSA,75,2,C,PASS
S239,2018,DDT1C,JUNE,3,CSA,92,3.7,A-,DISTINCTION
S240,2018,DDT1C,DEC,1,ICS,88,3.3,B+,DISTINCTION
S241,2018,DDT1D,JUNE,1,ICS,54,0,F,FAIL
S242,2017,DDT1B,DEC,3,ICS,79,2.3,C+,PASS
S243,2016,DDT1A,JUNE,3,ICS,78,2.3,C+,PASS
S244,2017,DDT1B,DEC,2,ICS,50,0,F,FAIL
S245,2016,DDT1A,DEC,3,ICS,62,0,F,FAIL
S246,2016,DDT1A,DEC,3,CSA,73,2,C,PASS
S247,2017,DDT1B,DEC,3,CSA,46,0,F,FAIL
S248,2016,DDT1A,JUNE,1,CSA,44,0,F,FAIL
S249,2019,DDT1C,JUNE,3,ICS,74,2,C,PASS
S250,2018,DDT1D,DEC,1,ICS,48,0,F,FAIL
S251,2019,DDT1D,DEC,2,ICS,57,0,F,FAIL
S252,2019,DDT1D,DEC,2,ICS,47,0,F,FAIL
S253,2017,DDT1B,JUNE,2,CSA,44,0,F,FAIL
S254,2016,DDT1A,DEC,3,CSA,39,0,F,FAIL
S255,2016,DDT1A,DEC,2,CSA,79,2.3,C+,PASS
S256,2017,DDT1B,JUNE,3,CSA,38,0,F,FAIL
S257,2017,DDT1B,JUNE,2,CSA,71,1.7,C-,PASS
S258,2017,DDT1B,DEC,3,ICS,53,0,F,FAIL
S259,2016,DDT1A,DEC,1,CSA,76,2,C,PASS
S260,2017,DDT1B,DEC,1,CSA,86,3,B,DISTINCTION
S261,2016,DDT1A,JUNE,1,ICS,89,3.3,B+,DISTINCTION
S262,2017,DDT1B,DEC,3,CSA,61,0,F,FAIL
S263,2017,DDT1B,DEC,1,CSA,44,0,F,FAIL
S264,2017,DDT1B,DEC,1,ICS,58,0,F,FAIL
S265,2019,DDT1D,JUNE,1,ICS,94,3.8,A,EXCELLENT
S266,2017,DDT1B,DEC,3,ICS,62,0,F,FAIL
S267,2018,DDT1C,DEC,3,CSA,56,0,F,FAIL
S268,2018,DDT1C,DEC,1,CSA,88,3.3,B+,DISTINCTION
S269,2018,DDT1C,JUNE,1,CSA,52,0,F,FAIL
S270,2018,DDT1D,JUNE,1,CSA,62,0,F,FAIL
S271,2017,DDT1B,JUNE,3,ICS,81,2.7,B-,PASS
S272,2019,DDT1D,DEC,2,CSA,72,1.7,C-,PASS
S273,2016,DDT1A,DEC,2,CSA,85,3,B,DISTINCTION
S274,2019,DDT1D,DEC,1,CSA,60,0,F,FAIL
S275,2016,DDT1A,JUNE,1,ICS,76,2,C,PASS
S276,2016,DDT1A,JUNE,3,ICS,93,3.8,A,EXCELLENT
S277,2016,DDT1A,DEC,1,CSA,59,0,F,FAIL
S278,2017,DDT1B,JUNE,3,CSA,65,1,D,PASS
S279,2018,DDT1D,JUNE,2,ICS,93,3.8,A,EXCELLENT
S280,2016,DDT1A,JUNE,2,ICS,54,0,F,FAIL
S281,2018,DDT1D,JUNE,1,ICS,53,0,F,FAIL
S282,2017,DDT1B,DEC,3,ICS,93,3.8,A,EXCELLENT
S283,2019,DDT1D,JUNE,3,CSA,66,1,D,PASS
S284,2017,DDT1B,DEC,3,ICS,58,0,F,FAIL
S285,2019,DDT1D,JUNE,3,ICS,60,0,F,FAIL
S286,2017,DDT1B,DEC,2,CSA,60,0,F,FAIL
S287,2017,DDT1B,DEC,3,ICS,71,1.7,C-,PASS
S288,2017,DDT1B,DEC,3,ICS,40,0,F,FAIL
S289,2019,DDT1C,JUNE,3,ICS,51,0,F,FAIL
S290,2018,DDT1D,DEC,1,CSA,81,2.7,B-,PASS
S291,2019,DDT1D,DEC,2,ICS,68,1.3,D+,PASS
S292,2016,DDT1A,DEC,3,ICS,91,3.7,A-,DISTINCTION
S293,2018,DDT1D,DEC,1,ICS,43,0,F,FAIL
S294,2019,DDT1D,DEC,1,ICS,91,3.7,A-,DISTINCTION
S295,2016,DDT1A,DEC,3,CSA,70,1.7,C-,PASS
S296,2018,DDT1C,DEC,3,ICS,40,0,F,FAIL
S297,2018,DDT1D,JUNE,1,ICS,69,1.3,D+,PASS
S298,2017,DDT1B,DEC,2,ICS,90,3.7,A-,DISTINCTION
S299,2016,DDT1A,DEC,3,CSA,78,2.3,C+,PASS
S300,2018,DDT1D,JUNE,1,ICS,47,0,F,FAIL
S301,2017,DDT1B,DEC,3,CSA,79,2.3,C+,PASS
S302,2019,DDT1D,JUNE,3,ICS,78,2.3,C+,PASS
S303,2019,DDT1D,JUNE,2,CSA,57,0,F,FAIL
S304,2016,DDT1A,DEC,1,CSA,81,2.7,B-,PASS
S305,2016,DDT1A,DEC,3,ICS,40,0,F,FAIL
S306,2019,DDT1D,JUNE,3,CSA,64,1,D,PASS
S307,2019,DDT1D,JUNE,1,ICS,49,0,F,FAIL
S308,2019,DDT1D,DEC,2,ICS,77,2.3,C+,PASS
S309,2017,DDT1B,DEC,2,ICS,52,0,F,FAIL
S310,2017,DDT1B,JUNE,3,ICS,77,2.3,C+,PASS
S311,2019,DDT1D,DEC,3,ICS,42,0,F,FAIL
S312,2017,DDT1B,DEC,2,CSA,51,0,F,FAIL
S313,2018,DDT1D,DEC,2,ICS,41,0,F,FAIL
S314,2017,DDT1B,JUNE,1,ICS,91,3.7,A-,DISTINCTION
S315,2017,DDT1B,DEC,2,ICS,48,0,F,FAIL
S316,2019,DDT1D,DEC,2,CSA,86,3,B,DISTINCTION
S317,2019,DDT1D,DEC,3,CSA,78,2.3,C+,PASS
S318,2017,DDT1B,DEC,3,CSA,63,1,D,PASS
S319,2019,DDT1D,JUNE,2,ICS,74,2,C,PASS
S320,2019,DDT1C,JUNE,2,CSA,93,3.8,A,EXCELLENT
S321,2018,DDT1D,JUNE,2,ICS,52,0,F,FAIL
S322,2016,DDT1A,DEC,3,ICS,98,4,A+,EXCEPTIONAL
S323,2019,DDT1D,JUNE,3,CSA,64,1,D,PASS
S324,2016,DDT1A,DEC,2,CSA,95,3.8,A,EXCELLENT
S325,2016,DDT1A,DEC,3,ICS,65,1,D,PASS
S326,2019,DDT1D,JUNE,3,ICS,98,4,A+,EXCEPTIONAL
S327,2016,DDT1A,DEC,1,ICS,64,1,D,PASS
S328,2017,DDT1B,JUNE,3,CSA,51,0,F,FAIL
S329,2017,DDT1B,DEC,2,CSA,95,3.8,A,EXCELLENT
S330,2019,DDT1D,DEC,1,ICS,47,0,F,FAIL
S331,2017,DDT1B,JUNE,2,ICS,77,2.3,C+,PASS
S332,2018,DDT1D,JUNE,3,ICS,89,3.3,B+,DISTINCTION
S333,2017,DDT1B,JUNE,1,CSA,75,2,C,PASS
S334,2019,DDT1D,JUNE,3,CSA,96,3.8,A,EXCELLENT
S335,2017,DDT1B,JUNE,1,CSA,90,3.7,A-,DISTINCTION
S336,2016,DDT1A,DEC,1,CSA,53,0,F,FAIL
S337,2017,DDT1B,DEC,2,CSA,70,1.7,C-,PASS
S338,2017,DDT1B,JUNE,2,ICS,69,1.3,D+,PASS
S339,2017,DDT1B,JUNE,2,ICS,93,3.8,A,EXCELLENT
S340,2017,DDT1B,DEC,3,ICS,64,1,D,PASS
S341,2019,DDT1D,DEC,3,CSA,53,0,F,FAIL
S342,2017,DDT1B,DEC,3,ICS,61,0,F,FAIL
S343,2018,DDT1C,DEC,2,ICS,47,0,F,FAIL
S344,2018,DDT1D,DEC,2,CSA,84,3,B,DISTINCTION
S345,2016,DDT1A,JUNE,3,CSA,58,0,F,FAIL
S346,2018,DDT1C,JUNE,1,CSA,94,3.8,A,EXCELLENT
S347,2018,DDT1D,JUNE,2,ICS,69,1.3,D+,PASS
S348,2017,DDT1B,JUNE,2,ICS,42,0,F,FAIL
S349,2017,DDT1B,JUNE,1,ICS,73,2,C,PASS
S350,2016,DDT1A,JUNE,2,CSA,46,0,F,FAIL
S351,2017,DDT1B,DEC,3,CSA,69,1.3,D+,PASS
S352,2019,DDT1D,JUNE,3,CSA,51,0,F,FAIL
S353,2016,DDT1A,JUNE,2,CSA,74,2,C,PASS
S354,2017,DDT1B,DEC,1,CSA,89,3.3,B+,DISTINCTION
S355,2016,DDT1A,DEC,1,ICS,97,4,A+,EXCEPTIONAL
S356,2017,DDT1B,JUNE,2,CSA,91,3.7,A-,DISTINCTION
S357,2018,DDT1D,JUNE,3,ICS,68,1.3,D+,PASS
S358,2019,DDT1D,DEC,1,ICS,77,2.3,C+,PASS
S359,2019,DDT1D,JUNE,1,ICS,38,0,F,FAIL
S360,2016,DDT1A,DEC,1,CSA,49,0,F,FAIL
S361,2016,DDT1A,JUNE,3,ICS,78,2.3,C+,PASS
S362,2017,DDT1B,JUNE,1,CSA,45,0,F,FAIL
S363,2019,DDT1D,DEC,2,CSA,56,0,F,FAIL
S364,2019,DDT1D,DEC,2,ICS,95,3.8,A,EXCELLENT
S365,2017,DDT1B,DEC,3,ICS,41,0,F,FAIL
S366,2018,DDT1C,DEC,2,CSA,91,3.7,A-,DISTINCTION
S367,2018,DDT1D,DEC,2,CSA,74,2,C,PASS
S368,2017,DDT1B,JUNE,1,CSA,92,3.7,A-,DISTINCTION
S369,2018,DDT1D,DEC,2,ICS,81,2.7,B-,PASS
S370,2017,DDT1B,DEC,2,CSA,71,1.7,C-,PASS
S371,2017,DDT1B,DEC,3,CSA,80,2.7,B-,PASS
S372,2019,DDT1C,DEC,2,CSA,77,2.3,C+,PASS
S373,2018,DDT1D,DEC,3,CSA,89,3.3,B+,DISTINCTION
S374,2017,DDT1B,JUNE,3,ICS,61,0,F,FAIL
S375,2017,DDT1B,DEC,2,ICS,48,0,F,FAIL
S376,2019,DDT1C,DEC,1,CSA,84,3,B,DISTINCTION
S377,2018,DDT1D,JUNE,3,ICS,38,0,F,FAIL
S378,2017,DDT1B,JUNE,1,CSA,38,0,F,FAIL
S379,2019,DDT1D,JUNE,2,ICS,80,2.7,B-,PASS
S380,2016,DDT1A,JUNE,3,CSA,77,2.3,C+,PASS
S381,2019,DDT1D,JUNE,2,CSA,54,0,F,FAIL
S382,2017,DDT1B,DEC,1,CSA,42,0,F,FAIL
S383,2018,DDT1D,JUNE,2,CSA,98,4,A+,EXCEPTIONAL
S384,2017,DDT1B,DEC,2,ICS,43,0,F,FAIL
S385,2019,DDT1D,DEC,1,ICS,81,2.7,B-,PASS
S386,2016,DDT1A,DEC,3,CSA,85,3,B,DISTINCTION
S387,2019,DDT1C,DEC,3,CSA,70,1.7,C-,PASS
S388,2018,DDT1D,DEC,3,CSA,44,0,F,FAIL
S389,2017,DDT1B,DEC,1,CSA,56,0,F,FAIL
S390,2018,DDT1D,DEC,1,ICS,46,0,F,FAIL
S391,2017,DDT1B,DEC,1,CSA,54,0,F,FAIL
S392,2016,DDT1A,JUNE,2,CSA,41,0,F,FAIL
S393,2016,DDT1A,JUNE,1,CSA,63,1,D,PASS
S394,2018,DDT1D,DEC,3,ICS,44,0,F,FAIL
S395,2017,DDT1B,DEC,2,CSA,55,0,F,FAIL
S396,2017,DDT1B,JUNE,1,CSA,67,1.3,D+,PASS
S397,2017,DDT1B,JUNE,2,CSA,91,3.7,A-,DISTINCTION
